Age,Gender,Location,Occupation,Education,Income,Device Ownership,Operating System,Internet Usage,Use of Security Tools,Social Media Usage,Privacy Settings,Info Sharing Frequency,Email Accounts,Email Filtering,Browsing Behavior,Security Awareness,Password Hygiene,Incident History,Sensitive Info Access,Workplace Policies,Remote Work Status,Risk Factor
56,Male,Urban,Finance,Bachelor's,Medium,4,iOS,Low,Yes,High,Private,Rarely,1,Yes,Moderate,High,Moderate,Yes,Yes,Moderate,No,68
46,Male,Suburban,Finance,PhD,Medium,1,Android,Low,No,Low,Private,Often,4,No,Cautious,High,Strong,Yes,No,Strict,Yes,70
32,Male,Suburban,Finance,High School,Low,3,iOS,Medium,No,Medium,Private,Sometimes,3,Yes,Risky,Low,Weak,Yes,No,None,Yes,74
60,Non-binary,Urban,Education,Associate,High,4,Android,Medium,Yes,Low,Private,Often,4,No,Risky,Low,Weak,No,Yes,Moderate,Yes,86
25,Non-binary,Rural,Finance,Associate,Low,1,Android,Medium,Yes,High,Public,Sometimes,3,Yes,Moderate,Medium,Moderate,Yes,No,Moderate,No,54
38,Non-binary,Rural,Healthcare,Master's,High,4,Linux,Medium,Yes,High,Public,Rarely,3,Yes,Moderate,Medium,Moderate,Yes,Yes,None,Yes,84
56,Female,Rural,Education,Master's,Low,4,Other,High,Yes,Medium,Private,Rarely,3,Yes,Moderate,Low,Moderate,No,No,Moderate,No,62
36,Female,Urban,Healthcare,High School,Low,1,Linux,Low,Yes,Low,Public,Sometimes,3,Yes,Risky,High,Weak,No,Yes,Strict,Yes,69
40,Male,Rural,Retail,Associate,Medium,4,iOS,Low,No,High,Private,Often,3,Yes,Cautious,High,Strong,No,Yes,Strict,No,63
28,Non-binary,Urban,Finance,Master's,Medium,4,Linux,Low,No,High,Public,Often,3,No,Risky,Low,Moderate,Yes,Yes,Strict,Yes,100
28,Male,Suburban,Legal,Bachelor's,Medium,2,Android,High,No,Low,Public,Sometimes,1,Yes,Moderate,Low,Moderate,Yes,Yes,Moderate,Yes,78
41,Non-binary,Rural,Legal,PhD,Medium,2,iOS,High,No,High,Private,Rarely,1,No,Risky,Low,Moderate,No,No,None,No,78
53,Non-binary,Suburban,Education,Master's,Medium,3,Linux,Medium,No,Low,Private,Often,1,Yes,Moderate,Low,Weak,Yes,No,None,No,71
57,Non-binary,Rural,Legal,High School,Medium,2,Windows,Low,No,Medium,Private,Often,2,Yes,Cautious,High,Weak,No,Yes,Moderate,Yes,79
41,Female,Urban,Education,Associate,Medium,1,Other,Low,Yes,Low,Private,Rarely,3,No,Moderate,High,Strong,Yes,No,Strict,Yes,57
20,Female,Urban,Finance,High School,High,4,Windows,High,Yes,Medium,Private,Often,1,Yes,Cautious,Medium,Moderate,No,Yes,Strict,Yes,82
39,Non-binary,Urban,IT,PhD,High,3,iOS,Low,No,Low,Private,Sometimes,3,Yes,Cautious,Low,Moderate,No,No,Moderate,Yes,59
19,Male,Urban,IT,PhD,Medium,2,Linux,High,Yes,High,Private,Rarely,4,Yes,Risky,Medium,Weak,Yes,No,Moderate,No,78
41,Non-binary,Rural,Healthcare,High School,High,4,Android,Medium,No,Medium,Public,Sometimes,2,Yes,Moderate,High,Weak,No,Yes,Strict,Yes,76
61,Non-binary,Suburban,Finance,Master's,Low,1,Linux,High,No,Low,Private,Rarely,3,Yes,Risky,Medium,Moderate,No,No,Moderate,Yes,71
47,Male,Urban,Legal,Master's,High,4,iOS,Low,No,Medium,Private,Sometimes,1,Yes,Moderate,High,Moderate,No,No,None,No,61
55,Non-binary,Rural,Finance,Associate,Medium,1,iOS,High,Yes,Low,Private,Sometimes,2,No,Moderate,High,Moderate,No,Yes,None,No,61
19,Male,Suburban,Retail,Associate,High,4,iOS,High,Yes,Low,Public,Sometimes,4,Yes,Moderate,Medium,Weak,No,No,Moderate,Yes,69
38,Female,Urban,IT,Bachelor's,Low,3,iOS,Medium,No,Medium,Public,Often,3,No,Risky,Medium,Moderate,No,Yes,Strict,No,71
50,Female,Suburban,Legal,Bachelor's,High,3,Linux,Low,Yes,Medium,Public,Often,2,Yes,Risky,Low,Strong,Yes,Yes,None,No,88
29,Male,Urban,IT,Associate,Medium,2,Windows,Low,No,Medium,Private,Sometimes,3,Yes,Moderate,High,Weak,Yes,No,Moderate,Yes,67
39,Female,Suburban,Finance,Bachelor's,Low,2,Android,Medium,Yes,High,Public,Sometimes,2,No,Risky,Low,Strong,Yes,No,Strict,No,69
61,Female,Suburban,Legal,High School,Low,4,Android,High,Yes,Low,Private,Rarely,1,No,Moderate,Low,Strong,Yes,Yes,Moderate,No,78
42,Male,Urban,Healthcare,Master's,High,4,Other,High,No,Low,Private,Often,3,Yes,Risky,High,Weak,Yes,Yes,Moderate,No,90
44,Female,Rural,Finance,Bachelor's,Low,2,iOS,Low,No,Medium,Public,Sometimes,3,No,Risky,Medium,Moderate,No,No,Moderate,No,61
59,Non-binary,Suburban,Healthcare,Bachelor's,Low,2,iOS,High,No,Low,Private,Often,3,Yes,Cautious,Low,Strong,No,Yes,Moderate,Yes,76
